cell_type,temp,mean.time,sd.time,expected_stage,deviation,deviation_frac,rel,rel_temp,rel_dev,total_cells
"cranial muscle (non-somitic, fast-twitch)",32C,40.6805744641161,4.91813774371591,28.56,7.37940614172408,1.42438986218894,1.10371139888333,,-1.45740716520681,4271
"cranial muscle (non-somitic, fast-twitch)",34C,42.568422694137,4.19309850180099,31.2,6.62725437174492,1.36437252224798,1.15493092167236,1.04640662662436,-2.20955893518597,4271
cranial muscle (progenitor),28C,24.0880419120747,1.50566169861129,23.28,-3.93312641031734,1.03470970412692,1,,0,5465
cranial muscle (progenitor),32C,25.9352177382169,1.44567310540985,28.56,-7.36595058417513,0.908095859181265,1.07668434955754,,-3.43282417385779,5465
cranial muscle (progenitor),34C,26.0128568415392,0.976391325731912,31.2,-9.92831148085282,0.833745411587796,1.07990748839156,1.00299357823428,-5.99518507053548,5465
cranial neural crest,28C,27.9256767910324,3.3188926237318,23.28,-0.0954915313596754,1.19955656318868,1,,0,7338
cranial neural crest,32C,35.4778803732866,2.85279046780657,28.56,2.17671205089458,1.24222270214589,1.27043941096817,,2.27220358225426,7338
cranial neural crest,34C,39.5708221845142,3.86663044752142,31.2,3.62965386212216,1.26829558283699,1.41700494783429,1.11536601871823,3.72514539348183,7338
differentiating neuron (hindbrain),28C,28.6546154107583,2.89727561785187,23.28,0.633447088366287,1.23086835956866,1,,0,17039
differentiating neuron (hindbrain),32C,29.4703635603659,1.33675984311709,28.56,-3.83080476202611,1.03187547480273,1.02846829866372,,-4.4642518503924,17039
differentiating neuron (hindbrain),34C,30.0066640762775,0.925804857113439,31.2,-5.93450424611457,0.961752053726842,1.04718432427509,1.01819796063299,-6.56795133448086,17039
differentiating neuron 1,28C,26.921322902866,2.5926953217902,23.28,-1.0998454195261,1.15641421404063,1,,0,22071
differentiating neuron 1,32C,28.3049555374945,1.11378957344681,28.56,-4.99621278489755,0.991069871761012,1.05139541766282,,-3.89636736537146,22071
differentiating neuron 1,34C,28.84634922412,0.846625246924746,31.2,-7.09481909827211,0.924562475132049,1.0715056361903,1.01912716965438,-5.99497367874602,22071
differentiating neuron 2,28C,27.6881591393191,2.89037041213877,23.28,-0.333009183073004,1.1893539149192,1,,0,7339
differentiating neuron 2,32C,30.211260050405,1.99883636142034,28.56,-3.0899082719871,1.05781722865564,1.09112562877114,,-2.75689908891409,7339
differentiating neuron 2,34C,31.5464484601926,1.35213512018763,31.2,-4.39471986219944,1.01110411731387,1.1393479899281,1.04419505864899,-4.06171067912644,7339
dorsal spinal cord neuron,28C,32.668625710381,2.763205387735,23.28,4.64745738798898,1.40329148240468,1,,0,3261
dorsal spinal cord neuron,32C,34.8035049149842,2.72133976835839,28.56,1.50233659259211,1.21861011607087,1.06534952598036,,-3.14512079539687,3261
dorsal spinal cord neuron,34C,35.8085581906726,4.02923794822878,31.2,-0.132610131719451,1.14771019841899,1.09611461798633,1.02887793278704,-4.78006751970843,3261
endothelium (dorsal aorta),28C,26.8992497498501,5.39989154937347,23.28,-1.12191857254195,1.15546605454683,1,,0,10616
endothelium (dorsal aorta),32C,37.485285002348,4.54251071969568,28.56,4.18411667995592,1.31250997907381,1.39354388508761,,5.30603525249787,10616
endothelium (dorsal aorta),34C,40.9410334554199,4.74574776613768,31.2,4.99986513302784,1.31221261075064,1.52201395340582,1.09218946722308,6.12178370556979,10616
"endothelium (f8+, clic2+)",28C,25.5669468890898,3.75990484901015,23.28,-2.45422143330231,1.09823655021863,1,,0,1963
"endothelium (f8+, clic2+)",32C,40.0531801531802,8.2201852449719,28.56,6.7520118307881,1.40242227427101,1.56660004524327,,9.20623326409041,1963
"endothelium (f8+, clic2+)",34C,42.722423568495,8.05137084839393,31.2,6.78125524610294,1.36930844770817,1.67100216360703,1.06664248394526,9.23547667940525,1963
endothelium (vein + early artery),28C,26.0596623895244,3.70315983711383,23.28,-1.96150593286765,1.11940130539194,1,,0,15780
endothelium (vein + early artery),32C,32.9617202142043,2.785506406693,28.56,-0.33944810818773,1.15412185623965,1.26485599550416,,1.62205782467992,15780
endothelium (vein + early artery),34C,35.4304388861728,2.18740481455125,31.2,-0.510729436219263,1.13559098994144,1.35958932838728,1.07489653622218,1.45077649664839,15780
"eye, optic cup",28C,27.4568847888596,3.06054189348664,23.28,-0.564283533532491,1.17941944969328,1,,0,32283
"eye, optic cup",32C,29.9657263903316,1.29347560790333,28.56,-3.33544193206042,1.04922011170629,1.09137386199362,,-2.77115839852793,32283
"eye, optic cup",34C,30.8013166189883,1.48800373580229,31.2,-5.13985170340379,0.987221686506034,1.12180667456804,1.0278848647876,-4.5755681698713,32283
fast-committed myocyte (fusing),28C,22.916866260339,0.875875136787459,23.28,-5.10430206205307,0.984401471664046,1,,0,7391
fast-committed myocyte (fusing),32C,22.7597645266343,0.905821419801732,28.56,-10.5414037957578,0.796910522641256,0.993144711326583,,-5.4371017337047,7391
fast-committed myocyte (fusing),34C,23.0216493497166,1.21122975197211,31.2,-12.9195189726755,0.73787337659348,1.00457231316827,1.01150648209808,-7.81521691062241,7391
fast-committed myocyte (pre-fusion),28C,21.5778423485166,0.646712544769562,23.28,-6.4433259738755,0.926883262393323,1,,0,4021
fast-committed myocyte (pre-fusion),32C,21.1687707941676,1.1842075739843,28.56,-12.1323975282244,0.741203459179539,0.98104205472717,,-5.68907155434894,4021
fast-committed myocyte (pre-fusion),34C,21.8946753246753,1.52209543348645,31.2,-14.0464929977167,0.701752414252414,1.01468325567688,1.03429129341358,-7.60316702384124,4021
fin bud mesoderm (pectoral),28C,41.5123136123136,11.6255506348085,23.28,13.4911452899216,1.78317498334681,1,,0,2980
fin bud mesoderm (pectoral),32C,43.35,8.28446350915078,28.56,10.0488316776079,1.51785714285714,1.04426846465,,-3.44231361231363,2980
fin bud mesoderm (pectoral),34C,45.3041403041403,11.5395392303089,31.2,9.36297198174826,1.45205577897886,1.09134221540237,1.04507820770797,-4.12817330817331,2980
fin fold,28C,40.0207734725592,6.13125815868622,23.28,11.9996051501671,1.71910538971474,1,,0,16593
fin fold,32C,37.203083965521,2.75647076415647,28.56,3.90191564312889,1.30262899038939,0.929594326582163,,-8.09768950703824,16593
fin fold,34C,38.2443750871071,3.69880383281518,31.2,2.30320676471502,1.22578125279189,0.955613092119019,1.02798937643318,-9.69639838545211,16593
fin mesenchyme,28C,23.9052347960139,0.843396685523098,23.28,-4.11593352637812,1.02685716477723,1,,0,11413
fin mesenchyme,32C,24.2645333975272,0.559325301952235,28.56,-9.03663492486486,0.849598508316779,1.01503012225478,,-4.92070139848674,11413
fin mesenchyme,34C,24.2966071394453,0.579535180435308,31.2,-11.6445611829467,0.778737408315556,1.01637182595239,1.00132183633588,-7.52862765656861,11413
floor plate,28C,26.444354666778,3.16495840538877,23.28,-1.57681365561402,1.1359258877482,1,,0,5543
floor plate,32C,29.5267784653734,3.51401436497085,28.56,-3.77438985701867,1.03385078660271,1.11656264020947,,-2.19757620140465,5543
floor plate,34C,31.8469359567935,5.33531802401337,31.2,-4.0942323655986,1.0207351268203,1.20429998606858,1.07857807766401,-2.51741870998458,5543
glia,28C,28.6845939914663,7.79226918357388,23.28,0.663425669074234,1.23215609928979,1,,0,3433
glia,32C,30.7895577719771,4.86919085382471,28.56,-2.51161055041492,1.07806574831853,1.07338307738074,,-3.17503621948916,3433
glia,34C,35.5589690241731,4.04572815644895,31.2,-0.382199298218955,1.13971054564657,1.23965390741636,1.15490353214936,-1.04562496729319,3433
hair cell,28C,50.6969860548808,7.59855479124884,23.28,22.6758177324887,2.17770558654986,1,,0,958
hair cell,32C,55.0200941915228,10.4378846433763,28.56,21.7189258691307,1.9264738862578,1.08527347428429,,-0.956891863358031,958
hair cell,34C,54.8962370962371,10.7190508251324,31.2,18.955068773845,1.75949477872555,1.0828303883156,0.997748875259018,-3.7207489586437,958
hatching gland,28C,26.8249994815129,2.72020277901443,23.28,-1.19616884087914,1.15227661003062,1,,0,21523
hatching gland,32C,29.6865712908281,2.1106020709003,28.56,-3.61459703156399,1.03944577348838,1.10667555879311,,-2.41842819068484,21523
hatching gland,34C,31.2152956683972,1.9474274585425,31.2,-4.7258726539949,1.00049024578196,1.16366435309383,1.05149548469551,-3.52970381311575,21523
head mesenchyme,28C,27.0379094586445,3.30965711924416,23.28,-0.983258863747606,1.161422227605,1,,0,26539
head mesenchyme,32C,35.3782466899561,2.22130395530675,28.56,2.07707836756406,1.23873412779958,1.30846827281778,,3.06033723131167,26539
head mesenchyme,34C,37.2132040798147,1.78958550509349,31.2,1.27203575742264,1.19273089999406,1.37633436996058,1.0518668266955,2.25529462117025,26539
"head mesenchyme (maybe ventral, hand2+)",28C,26.3920695570974,3.69016991326536,23.28,-1.62909876529469,1.13367996379284,1,,0,21874
"head mesenchyme (maybe ventral, hand2+)",32C,30.9277973391947,1.98619646045113,28.56,-2.37337098319735,1.08290606929953,1.17185949636441,,-0.744272217902655,21874
"head mesenchyme (maybe ventral, hand2+)",34C,31.6718332591045,1.91191897362955,31.2,-4.26933506328757,1.01512286086873,1.20005114379472,1.02405719074494,-2.64023629799287,21874
head mesenchyme/PA cartilage,28C,25.5039603643082,2.01058222526994,23.28,-2.51720795808387,1.09553094348403,1,,0,16907
head mesenchyme/PA cartilage,32C,31.1031632231177,1.69473764420513,28.56,-2.19800509927436,1.08904633134166,1.21954248590526,,0.319202858809518,16907
head mesenchyme/PA cartilage,34C,32.4059741383672,1.55279820519979,31.2,-3.53519418402489,1.03865301725536,1.27062517646154,1.04188676585413,-1.01798622594102,16907
head/eye connective tissue,28C,24.250434585425,1.68525989555004,23.28,-3.77073373696711,1.04168533442547,1,,0,16599
head/eye connective tissue,32C,26.1012213521445,1.17958065909748,28.56,-7.19994697024761,0.913908310649316,1.07631973605256,,-3.4292132332805,16599
head/eye connective tissue,34C,26.7068514032972,0.997301580913272,31.2,-9.2343169190949,0.855988827028755,1.1012937235916,1.02320313072641,-5.46358318212779,16599
hypochord,28C,25.481257488367,2.44746551139959,23.28,-2.53991083402505,1.09455573403638,1,,0,1373
hypochord,32C,30.7934920634921,5.2245430591596,28.56,-2.50767625889999,1.07820350362367,1.20847615458343,,0.0322345751250523,1373
hypochord,34C,34.4997918747919,6.62697887552665,31.2,-1.44137644760019,1.10576256008948,1.35392815250747,1.12035984108778,1.09853438642486,1373
hypophysis/locus coeruleus,28C,34.8627547622446,8.62971186462589,23.28,6.8415864398525,1.49754101212391,1,,0,826
hypophysis/locus coeruleus,32C,33.2107092254151,8.04219649852033,28.56,-0.0904590969769412,1.16283995887308,0.952612880189876,,-6.93204553682945,826
hypophysis/locus coeruleus,34C,35.0667989904832,10.2321404377788,31.2,-0.874369331908865,1.12393586507959,1.00585278557676,1.05588829050503,-7.71595577176137,826
intestine,28C,24.2517344709112,1.74923905084519,23.28,-3.76943385148087,1.04174117143089,1,,0,8889
intestine,32C,26.9693300472421,2.69538272628775,28.56,-6.33183827514992,0.94430427336282,1.11205778207701,,-2.56240442366904,8889
intestine,34C,28.3349047177893,2.83342512272567,31.2,-7.60626360460273,0.908170023006068,1.16836611219605,1.05063435643952,-3.83682975312185,8889
ionocyte/goblet cell,28C,28.2476979485898,4.04686746776968,23.28,0.226529626197687,1.21338908713873,1,,0,14909
ionocyte/goblet cell,32C,34.9642756611843,2.58741553931564,28.56,1.66310733879221,1.224239343879,1.23777433916274,,1.43657771259452,14909
ionocyte/goblet cell,34C,37.5790045260932,2.66488729426783,31.2,1.63783620370111,1.20445527327222,1.33033865607336,1.07478286952793,1.41130657750342,14909
iridophore,28C,28.3659403530497,5.51386249647152,23.28,0.344772030657675,1.21846822822379,1,,0,2929
iridophore,32C,36.3870447560103,6.44468835002038,28.56,3.08587643361822,1.27405618893593,1.28277237782805,,2.74110440296055,2929
iridophore,34C,38.0075440432583,5.07653605098466,31.2,2.06637572086628,1.218190514207,1.33990072496123,1.04453506180879,1.7216036902086,2929
KA neuron,28C,29.5007887840555,4.13549905725049,23.28,1.4796204616634,1.2672160130608,1,,0,1655
KA neuron,32C,33.4902316070173,5.6164358686104,28.56,0.189063284625272,1.17262715710845,1.13523173404496,,-1.29055717703812,1655
KA neuron,34C,35.5055101415678,4.81468015703703,31.2,-0.435658180824225,1.13799711992205,1.20354443406469,1.06017511488718,-1.91527864248762,1655
lens,28C,26.0891822481055,3.15729623761765,23.28,-1.93198607428659,1.12066934055436,1,,0,8143
lens,32C,29.7254534747054,3.18204903618696,28.56,-3.57571484768668,1.04080719449249,1.13937850531379,,-1.64372877340009,8143
lens,34C,32.2935441513829,3.65009255097557,31.2,-3.6476241710092,1.0350494920315,1.23781358282044,1.08639365851434,-1.71563809672261,8143
liver,28C,31.6089743589743,3.10554423518854,23.28,3.58780603658228,1.35777381267072,1,,0,1046
liver,32C,36.1733333333333,3.2818638584633,28.56,2.87216501094128,1.26657329598506,1.14440073007504,,-0.715641025640998,1046
liver,34C,35.4222222222222,4.94293360187986,31.2,-0.518946100169833,1.13532763532764,1.12063813966065,0.979235778351149,-4.10675213675211,1046
mature fast muscle,28C,25.924394741913,2.93254396652936,23.28,-2.09677358047908,1.11359083942925,1,,0,109161
mature fast muscle,32C,32.1016936256251,1.14314205656167,28.56,-1.19947469676701,1.12400888044906,1.23828131554119,,0.897298883712072,109161
mature fast muscle,34C,34.7064851104796,1.58377701975855,31.2,-1.23468321191246,1.1123873432846,1.33875777837807,1.08114187105615,0.862090368566623,109161
mature slow muscle,28C,24.9559825474316,3.42227358328301,23.28,-3.06518577496042,1.07199237746699,1,,0,39397
mature slow muscle,32C,30.9846604783073,1.84712527679188,28.56,-2.3165078440848,1.08489707557098,1.24157245339539,,0.748677930875616,39397
mature slow muscle,34C,34.5567353850965,2.60925794554321,31.2,-1.38443293729556,1.10758767259925,1.38470746721423,1.11528526863446,1.68075283766486,39397
melanophore,28C,26.5799619835527,3.44731346307157,23.28,-1.4412063388394,1.14175094431068,1,,0,6453
melanophore,32C,35.7687203366874,4.64505458854036,28.56,2.46755201429532,1.25240617425376,1.34570246409008,,3.90875835313472,6453
melanophore,34C,41.3305626072476,5.73740833385342,31.2,5.38939428485553,1.32469751946306,1.55495190823909,1.15549458348544,6.83060062369493,6453
mesodermal progenitor cells (contains PSM),28C,21.333338641454,1.04421223858565,23.28,-6.6878296809381,0.916380525835651,1,,0,4339
mesodermal progenitor cells (contains PSM),32C,22.4976007830553,1.23303348354677,28.56,-10.8035675393367,0.787731119854878,1.05457477430837,,-4.11573785839863,4339
mesodermal progenitor cells (contains PSM),34C,22.5154158341658,1.70950464396971,31.2,-13.4257524882262,0.721647943402751,1.05540985462139,1.00079186448734,-6.73792280728814,4339
"motor neuron (hindbrain, spinal cord)",28C,31.9002603182337,5.21199510431683,23.28,3.87909199584161,1.37028609614406,1,,0,7984
"motor neuron (hindbrain, spinal cord)",32C,33.69366302631,3.52553357135721,28.56,0.392494703917942,1.17975010596324,1.05621906185672,,-3.48659729192367,7984
"motor neuron (hindbrain, spinal cord)",34C,35.6294053717063,3.23950083272868,31.2,-0.311762950685745,1.14196812088802,1.1169001448976,1.05745122885229,-4.19085494652736,7984
myeloid cell,28C,26.546694761981,3.97202456296581,23.28,-1.47447356041106,1.14032193994764,1,,0,4263
myeloid cell,32C,33.3992455035218,5.22775477166074,28.56,0.0980771811297618,1.16944136917093,1.25813197473287,,1.57255074154082,4263
myeloid cell,34C,35.0286777060722,4.54717700868825,31.2,-0.912490616319877,1.12271402904078,1.31951182699545,1.04878649735901,0.561982944091184,4263
myoblast,28C,22.2975815982635,1.12784949023043,23.28,-5.72358672412855,0.957799896832625,1,,0,2182
myoblast,32C,22.5483873614308,0.834558924670262,28.56,-10.7527809609612,0.789509361394637,1.0112481150506,,-5.02919423683266,2182
myoblast,34C,22.84721214999,0.983278660190478,31.2,-13.0939561724021,0.732282440704806,1.02464978317511,1.01325260133992,-7.37036944827356,2182
neural crest + pigment cell progenitor,28C,22.9244257176934,1.31734387981761,23.28,-5.09674260469862,0.98472619062257,1,,0,2347
neural crest + pigment cell progenitor,32C,23.3503014933784,1.56141628833873,28.56,-9.95086682901364,0.817587587303166,1.01857738034224,,-4.85412422431502,2347
neural crest + pigment cell progenitor,34C,22.9965177078813,2.08243527259108,31.2,-12.9446506145107,0.737067875252607,1.00314476755386,0.98484885578041,-7.8479080098121,2347
neural progenitor (diencephalon/telencephalon),28C,34.5538021926661,4.94224517049968,23.28,6.53263387027406,1.48426985363686,1,,0,9597
neural progenitor (diencephalon/telencephalon),32C,37.9788819770764,3.62647990641886,28.56,4.67771365468437,1.3297927863122,1.09912309404657,,-1.85492021558969,9597
neural progenitor (diencephalon/telencephalon),34C,36.9610030496569,3.63462918401284,31.2,1.01983472726484,1.18464753364285,1.06966529598013,0.97319881801592,-5.51279914300922,9597
neural progenitor (hindbrain R7/8),28C,25.4229730250905,1.9737708595649,23.28,-2.59819529730161,1.09205210588876,1,,0,23672
neural progenitor (hindbrain R7/8),32C,26.9293060460101,1.00976209500298,28.56,-6.37186227638191,0.942902872759459,1.05925086021344,,-3.7736669790803,23672
neural progenitor (hindbrain R7/8),34C,27.8203644654633,1.27926625648805,31.2,-8.12080385692878,0.891678348252028,1.09430019998081,1.03308879990932,-5.52260855962717,23672
neural progenitor (hindbrain),28C,23.6408135067839,1.06704714211246,23.28,-4.38035481560821,1.01549886197525,1,,0,30804
neural progenitor (hindbrain),32C,23.9173758344794,0.408120056753957,28.56,-9.38379248791264,0.837443131459363,1.01169851145842,,-5.00343767230443,30804
neural progenitor (hindbrain),34C,24.2398283354306,0.465438728550912,31.2,-11.7013399869615,0.776917574853544,1.02533816480024,1.01348193477339,-7.32098517135326,30804
neural progenitor (MHB),28C,25.860132317331,2.46000837857796,23.28,-2.16103600506108,1.11083042600219,1,,0,21388
neural progenitor (MHB),32C,27.1526065565809,1.66513559585049,28.56,-6.14856176581115,0.950721518087567,1.04997941322921,,-3.98752576075007,21388
neural progenitor (MHB),34C,28.2753459032452,1.4562957339938,31.2,-7.66582241914683,0.906261086642475,1.09339525244021,1.04134922900771,-5.50478641408575,21388
neural progenitor (telencephalon/diencephalon),28C,27.3892389581669,3.11897238789987,23.28,-0.631929364225146,1.17651370095219,1,,0,19451
neural progenitor (telencephalon/diencephalon),32C,27.9772270380786,0.837669062810441,28.56,-5.32394128431344,0.97959478424645,1.02146785023161,,-4.69201192008829,19451
neural progenitor (telencephalon/diencephalon),34C,27.9928454737821,1.24133447218233,31.2,-7.94832284860996,0.897206585698144,1.02203809008849,1.00055825531538,-7.31639348438481,19451
neural tube-like connective tissue (+ taste bud),28C,26.2733371943316,4.40211151229622,23.28,-1.74783112806042,1.12857977638882,1,,0,14794
neural tube-like connective tissue (+ taste bud),32C,28.717054843827,2.51382705385421,28.56,-4.58411347856509,1.00549911918162,1.09301131528973,,-2.83628235050467,14794
neural tube-like connective tissue (+ taste bud),34C,29.2466062306641,2.33997589375743,31.2,-6.69456209172794,0.937391225341799,1.1131667825195,1.01844030976425,-4.94673096366752,14794
neuromast support cell,28C,28.6256931186523,2.72348358769025,23.28,0.604524796260277,1.22962599306926,1,,0,6790
neuromast support cell,32C,34.8416952681696,4.49232491308368,28.56,1.54052694577757,1.21994731331126,1.21714765556077,,0.936002149517297,6790
neuromast support cell,34C,37.0278869949927,4.31704269203198,31.2,1.08671867260063,1.18679124983951,1.29351931642366,1.06274642235392,0.48219387634035,6790
neuron (+ spinal cord),28C,27.6870504623091,4.14479143687015,23.28,-0.334117860082978,1.1893062913363,1,,0,2692
neuron (+ spinal cord),32C,30.1274139274139,4.42365880090293,28.56,-3.17375439497812,1.0548814400355,1.0881409693108,,-2.83963653489514,2692
neuron (+ spinal cord),34C,32.0347631761918,3.50415145542257,31.2,-3.90640514620031,1.02675523000615,1.15703054826303,1.06330942487706,-3.57228728611733,2692
"neuron (cranial ganglia sensory, Rohon-Beard)",28C,29.8203828043606,6.64365116989673,23.28,1.79921448196858,1.28094427853783,1,,0,3892
"neuron (cranial ganglia sensory, Rohon-Beard)",32C,35.4949653226592,6.34463593011668,28.56,2.19379700026715,1.24282091465894,1.19029207490485,,0.394582518298567,3892
"neuron (cranial ganglia sensory, Rohon-Beard)",34C,37.9385650636658,4.62448824201285,31.2,1.99739674127373,1.21597964947647,1.27223601764489,1.06884355904545,0.198182259305153,3892
"neuron (cranial ganglion, enteric)",28C,28.9425395875426,4.62991524577535,23.28,0.921371265150528,1.24323623657829,1,,0,8395
"neuron (cranial ganglion, enteric)",32C,31.7332259467305,3.04147895515275,28.56,-1.56794237566156,1.111107351076,1.09642161327091,,-2.48931364081209,8395
"neuron (cranial ganglion, enteric)",34C,33.0000081641161,2.59165626262603,31.2,-2.94116015827598,1.05769256936269,1.14019048205154,1.03991974278039,-3.8625314234265,8395
neuron (dopaminergic),28C,29.4132384709308,4.91128757961414,23.28,1.39207014853873,1.26345526077881,1,,0,177
neuron (dopaminergic),32C,40.4052655677656,10.324238258965,28.56,7.10409724537352,1.41475019494978,1.37371019541756,,5.71202709683479,177
neuron (dopaminergic),34C,40.7999458874459,11.5161892307899,31.2,4.85877756505385,1.30769057331557,1.38712865391442,1.00976804171769,3.46670741651512,177
"neuron (telencephalon, glutamatergic)",28C,32.5791300619066,5.08125973012497,23.28,4.55796173951457,1.39944716760767,1,,0,3368
"neuron (telencephalon, glutamatergic)",32C,34.0850206090902,4.52442821092565,28.56,0.783852286698101,1.19345310255918,1.04622255242304,,-3.77410945281647,3368
"neuron (telencephalon, glutamatergic)",34C,34.4182606848934,4.99903701681305,31.2,-1.52290763749872,1.10314938092607,1.05645118882831,1.00977673094656,-6.08086937701329,3368
"neurons (differentiating, contains peripheral)",28C,31.1754910403714,5.15067125679031,23.28,3.1543227179793,1.33915339520496,1,,0,38662
"neurons (differentiating, contains peripheral)",32C,34.0505288048844,1.65690053892411,28.56,0.749360482492294,1.19224540633349,1.09222108998347,,-2.40496223548701,38662
"neurons (differentiating, contains peripheral)",34C,35.2717633592854,1.37198638600125,31.2,-0.669404963106706,1.13050523587453,1.13139399516144,1.03586536236776,-3.82372768108601,38662
"neurons (gabaergic, glutamatergic; contains Purkinje)",28C,34.931568970635,5.69294085258384,23.28,6.91040064824293,1.50049694891044,1,,0,19330
"neurons (gabaergic, glutamatergic; contains Purkinje)",32C,38.7973195424174,3.26969521802353,28.56,5.4961512200253,1.35844956381013,1.11066638818978,,-1.41424942821763,19330
"neurons (gabaergic, glutamatergic; contains Purkinje)",34C,40.3272762257087,2.37081019822639,31.2,4.38610790331665,1.29254090467015,1.15446507025234,1.0394345975788,-2.52429274492627,19330
"neurons (gabaergic, glutamatergic)",28C,33.4213598133341,5.77133413214388,23.28,5.40019149094208,1.43562542153497,1,,0,24993
"neurons (gabaergic, glutamatergic)",32C,37.8170100563116,3.44266594235516,28.56,4.51584173391951,1.32412500197169,1.1315221842417,,-0.884349757022573,24993
"neurons (gabaergic, glutamatergic)",34C,40.265618078551,2.83500382859229,31.2,4.32444975615893,1.29056468200484,1.20478694773174,1.06474885292606,-1.07574173478315,24993
notochord,28C,26.0196978755433,4.83386229227903,23.28,-2.00147044684872,1.11768461664705,1,,0,18462
notochord,32C,32.4723804514662,7.06149833513637,28.56,-0.82878787092587,1.13698811104574,1.24799221754177,,1.17268257592285,18462
notochord,34C,36.025380852764,4.79154403862262,31.2,0.0842125303718948,1.15465964271679,1.38454262709273,1.10941607458092,2.08568297722061,18462
olfactory vesicle/bulb,28C,35.8317027984411,4.63371264379131,23.28,7.81053447604901,1.53916249134197,1,,0,4008
olfactory vesicle/bulb,32C,39.772638639866,4.07806785022516,28.56,6.47147031747394,1.39259939215217,1.10998460953958,,-1.33906415857507,4008
olfactory vesicle/bulb,34C,39.4309458739218,4.25345097767992,31.2,3.48977755152972,1.2638123677539,1.10044856354517,0.991408848453879,-4.32075692451928,4008
pancreas,28C,33.4716668386387,7.06282100690963,23.28,5.45049851624661,1.43778637623018,1,,0,1562
pancreas,32C,39.1577649305427,7.01658938959567,28.56,5.85659660815066,1.37107020064925,1.16987794839486,,0.406098091904045,1562
pancreas,34C,44.0599363335078,9.53529981510474,31.2,8.11876801111571,1.41217744658679,1.31633529175327,1.12519027609621,2.6682694948691,1562
pectoral fin bud (osteoblast+),28C,24.5853092074091,1.99549477671151,23.28,-3.43585911498294,1.05606998313613,1,,0,8450
pectoral fin bud (osteoblast+),32C,28.7398434602029,2.70229671858685,28.56,-4.56132486218918,1.00629703992307,1.16898442145856,,-1.12546574720624,8450
pectoral fin bud (osteoblast+),34C,29.0632703582378,2.80304034463083,31.2,-6.87789796415424,0.931515075584546,1.18213971250275,1.01125360680836,-3.44203884917129,8450
periderm,28C,25.5320879115779,0.898632370289904,23.28,-2.48908041081412,1.09673917145953,1,,0,310447
